Brand,WaterProof,Gender,TimeDisplay,Chronograph,Rating,Price
Casio,200.0,1,0,0,25,194.0
Casio,200.0,1,0,1,3,245.0
Michael Kors,50.0,0,1,0,3,284.0
Michael Kors,50.0,0,1,0,0,293.0
Casio,50.0,0,0,0,0,188.0
Michael Kors,50.0,0,1,0,0,296.0
Michael Kors,50.0,0,1,0,0,291.0
Michael Kors,50.0,0,1,1,0,294.0
GANT,50.0,1,1,1,0,799.0
Casio,50.0,1,0,0,0,104.0
Emporio Armani,30.0,0,1,0,0,331.0
Bering,30.0,0,1,0,0,444.0
Emporio Armani,30.0,0,1,0,0,344.0
Tissot,100.0,1,1,0,0,1099.0
Tissot,30.0,1,1,0,0,1349.0
Calvin Klein,30.0,1,1,0,0,349.0
GANT,50.0,0,1,0,0,678.0
Casio,50.0,0,0,0,0,99.0
Emporio Armani,0.0,1,1,1,1,345.0
Tommy Hilfiger,50.0,1,1,1,0,329.0
Michael Kors,100.0,0,1,0,1,296.0
Michael Kors,50.0,0,1,0,0,298.0
Tommy Hilfiger,30.0,0,1,1,0,328.0
Tissot,300.0,1,1,1,0,1655.0
Casio,200.0,1,0,0,1,300.0
Tissot,100.0,1,1,0,0,1525.0
Casio,200.0,1,2,0,0,325.0
Casio,200.0,1,2,0,0,344.0
GANT,50.0,1,1,1,0,780.0
Emporio Armani,30.0,0,1,0,0,299.0
Michael Kors,50.0,0,1,0,0,299.0
Casio,200.0,1,0,0,0,315.0
Tommy Hilfiger,50.0,1,1,0,0,335.0
Calvin Klein,30.0,0,1,0,0,349.0
Casio,1000.0,1,0,1,0,189.0
Calvin Klein,30.0,1,1,0,0,315.0
Casio,200.0,1,2,1,0,356.0
Michael Kors,50.0,1,1,1,0,279.0
Michael Kors,30.0,0,1,0,0,294.0
Michael Kors,50.0,0,1,0,0,295.0
Michael Kors,100.0,1,1,1,0,296.0
Casio,200.0,1,2,0,0,309.0
Emporio Armani,30.0,0,1,0,0,349.0
Daniel Wellington,30.0,0,1,0,0,259.0
