Brand,WaterProof,Gender,TimeDisplay,Chronograph,Rating,Price
Casio,עד 200 מטר,לגבר,דיגיטלי,לא כולל,25 חוות דעת,194 ₪
Casio,לא זמין,לא זמין,דיגיטלי,לא כולל,6 חוות דעת,70 ₪
Casio,עד 200 מטר,לגבר,דיגיטלי,כולל,3 חוות דעת,245 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,3 חוות דעת,284 ₪
Michael Kors,עמיד במים,לאישה,אנלוגי,לא כולל,0,293 ₪
Casio,עד 50 מטר,לאישה,דיגיטלי,לא כולל,0,188 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,296 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,291 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,כולל,0,294 ₪
GANT,עד 50 מטר,לגבר,אנלוגי,כולל,0,799 ₪
Casio,עמיד במים,לגבר,דיגיטלי,לא כולל,0,104 ₪
Emporio Armani,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,331 ₪
Bering,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,444 ₪
Casio,עד 200 מטר,לא זמין,משולב,לא זמין,0,394 ₪
Emporio Armani,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,344 ₪
Tissot,עד 100 מטר,לגבר,אנלוגי,לא כולל,0,"1,099 ₪"
Tissot,עד 30 מטר,לגבר,אנלוגי,לא כולל,0,"1,349 ₪"
Calvin Klein,עד 30 מטר,לגבר,אנלוגי,לא כולל,0,349 ₪
GANT,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,678 ₪
Michael Kors,עד 50 מטר,לא זמין,אנלוגי,לא כולל,0,292 ₪
Casio,לא עמיד במים,לאישה,דיגיטלי,לא כולל,0,99 ₪
Emporio Armani,לא זמין,לגבר,אנלוגי,כולל,חוות דעת אחת,345 ₪
Casio,עמיד במים,לא זמין,דיגיטלי,לא כולל,0,130 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,296 ₪
Tommy Hilfiger,עד 50 מטר,לגבר,אנלוגי,לא זמין,0,328 ₪
Tommy Hilfiger,עד 50 מטר,לגבר,אנלוגי,כולל,0,329 ₪
Michael Kors,עד 100 מטר,לאישה,אנלוגי,לא כולל,חוות דעת אחת,296 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,298 ₪
Tommy Hilfiger,עד 30 מטר,לאישה,אנלוגי,כולל,0,328 ₪
Tissot,עד 300 מטר,לגבר,אנלוגי,כולל,0,"1,655 ₪"
Michael Kors,עד 10 מטר,יעודכן בקרוב,אנלוגי,כולל,0,280 ₪
Michael Kors,עמיד במים,לאישה,אנלוגי,לא כולל,0,296 ₪
Casio,עד 200 מטר,לגבר,דיגיטלי,לא כולל,חוות דעת אחת,300 ₪
Tissot,עד 100 מטר,לגבר,אנלוגי,לא כולל,0,"1,525 ₪"
Casio,עד 200 מטר,לגבר,משולב,לא כולל,0,325 ₪
Casio,עד 200 מטר,לגבר,משולב,לא כולל,0,344 ₪
GANT,עד 50 מטר,לגבר,אנלוגי,כולל,0,780 ₪
Emporio Armani,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,299 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,299 ₪
Casio,עד 200 מטר,לא זמין,דיגיטלי,לא כולל,0,300 ₪
Casio,עד 200 מטר,לגבר,דיגיטלי,לא כולל,0,315 ₪
Tommy Hilfiger,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,335 ₪
Calvin Klein,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,349 ₪
Casio,עד 1000 מטר,לגבר,דיגיטלי,כולל,0,189 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,298 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,299 ₪
Calvin Klein,עד 30 מטר,לגבר,אנלוגי,לא כולל,0,315 ₪
Calvin Klein,לא זמין,לא זמין,אנלוגי,לא כולל,0,349 ₪
Casio,עד 200 מטר,לגבר,משולב,כולל,0,356 ₪
Michael Kors,עד 50 מטר,לגבר,אנלוגי,כולל,0,279 ₪
Michael Kors,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,294 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,295 ₪
Michael Kors,עד 100 מטר,לגבר,אנלוגי,כולל,0,296 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,298 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,298 ₪
Casio,עד 200 מטר,לגבר,משולב,לא כולל,0,309 ₪
Emporio Armani,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,349 ₪
Daniel Wellington,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,259 ₪
Tissot,עד 100 מטר,לגבר,אנלוגי,כולל,0,"1,269 ₪"
Tissot,עד 30 מטר,לגבר,אנלוגי,לא כולל,0,"1,174 ₪"
Bering,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,379 ₪
Casio,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,249 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,חוות דעת אחת,262 ₪
GANT,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,878 ₪
GANT,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,678 ₪
GANT,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,679 ₪
Bering,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,492 ₪
GANT,יעודכן בקרוב,לגבר,יעודכן בקרוב,יעודכן בקרוב,0,699 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,חוות דעת אחת,299 ₪
Casio,עמיד במים,לילדים,דיגיטלי,לא כולל,0,104 ₪
Casio,עד 200 מטר,לגבר,משולב,לא כולל,0,349 ₪
Certina,לא זמין,לגבר,אנלוגי,לא רלוונטי,0,990 ₪
Casio,עד 100 מטר,לגבר,דיגיטלי,לא כולל,2 חוות דעת,93 ₪
Casio,עמיד במים,לילדים,דיגיטלי,לא כולל,חוות דעת אחת,104 ₪
Casio,עד 50 מטר,לגבר,דיגיטלי,לא כולל,0,114 ₪
Emporio Armani,עד 50 מטר,לגבר,אנלוגי,כולל,0,349 ₪
GANT,עד 50 מטר,לגבר,אנלוגי,כולל,0,860 ₪
Emporio Armani,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,379 ₪
Certina,עד 100 מטר,לגבר,אנלוגי,לא כולל,0,989 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,297 ₪
Casio,עמיד במים,לילדים,דיגיטלי,לא כולל,0,104 ₪
Casio,עמיד במים,לגבר,דיגיטלי,לא כולל,חוות דעת אחת,138 ₪
Michael Kors,עד 100 מטר,לגבר,אנלוגי,כולל,0,279 ₪
Michael Kors,עד 30 מטר,לגבר,אנלוגי,כולל,0,280 ₪
Tissot,עד 100 מטר,לגבר,אנלוגי,כולל,0,"1,389 ₪"
Tommy Hilfiger,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,297 ₪
Michael Kors,עד 100 מטר,לגבר,אנלוגי,כולל,חוות דעת אחת,297 ₪
Casio,עד 50 מטר,לילדים,דיגיטלי,לא כולל,0,105 ₪
Casio,עד 50 מטר,לילדים,דיגיטלי,לא כולל,0,106 ₪
Casio,עד 50 מטר,לילדים,דיגיטלי,לא כולל,0,108 ₪
Tommy Hilfiger,עד 50 מטר,לגבר,אנלוגי,כולל,0,328 ₪
Tommy Hilfiger,עד 50 מטר,לגבר,אנלוגי,כולל,0,328 ₪
Tommy Hilfiger,עד 50 מטר,לאישה,אנלוגי,כולל,0,329 ₪
Emporio Armani,עד 50 מטר,לגבר,אנלוגי,כולל,0,339 ₪
Casio,עמיד במים,לאישה,דיגיטלי,לא כולל,0,139 ₪
Emporio Armani,עד 50 מטר,לגבר,אנלוגי,כולל,0,344 ₪
Emporio Armani,עד 30 מטר,לאישה,אנלוגי,לא כולל,חוות דעת אחת,350 ₪
Tissot,עד 100 מטר,לגבר,אנלוגי,כולל,0,"1,579 ₪"
Tissot,עד 100 מטר,לגבר,אנלוגי,כולל,0,"1,684 ₪"
Tissot,עד 100 מטר,לגבר,אנלוגי,לא כולל,0,"1,390 ₪"
Certina,עד 100 מטר,לגבר,אנלוגי,לא כולל,0,"1,090 ₪"
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,290 ₪
Michael Kors,עד 50 מטר,לגבר,אנלוגי,כולל,0,293 ₪
Michael Kors,לא זמין,לאישה,אנלוגי,לא כולל,חוות דעת אחת,294 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,295 ₪
Certina,עד 100 מטר,לגבר,אנלוגי,לא כולל,0,"1,109 ₪"
Emporio Armani,עד 50 מטר,לגבר,אנלוגי,כולל,0,337 ₪
Tommy Hilfiger,עד 30 מטר,לאישה,אנלוגי,כולל,0,339 ₪
Daniel Wellington,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,239 ₪
Emporio Armani,עד 50 מטר,לגבר,אנלוגי,כולל,0,347 ₪
Emporio Armani,עד 50 מטר,לגבר,אנלוגי,כולל,0,348 ₪
Emporio Armani,עד 50 מטר,לגבר,אנלוגי,כולל,0,349 ₪
Tissot,עד 30 מטר,לגבר,אנלוגי,כולל,חוות דעת אחת,"1,568 ₪"
Michael Kors,עד 100 מטר,לגבר,אנלוגי,כולל,0,273 ₪
Tissot,עד 30 מטר,לגבר,אנלוגי,כולל,0,"1,379 ₪"
Tissot,עד 30 מטר,לגבר,אנלוגי,לא כולל,0,"1,385 ₪"
Michael Kors,עד 30 מטר,לאישה,אנלוגי,כולל,0,297 ₪
Tissot,עד 100 מטר,לגבר,אנלוגי,לא כולל,0,"1,529 ₪"
Emporio Armani,עד 50 מטר,לגבר,אנלוגי,כולל,0,344 ₪
Emporio Armani,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,349 ₪
Emporio Armani,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,350 ₪
Casio,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,174 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,278 ₪
Tommy Hilfiger,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,379 ₪
Tissot,עד 100 מטר,לגבר,אנלוגי,כולל,0,"1,389 ₪"
Michael Kors,עמיד במים,לאישה,אנלוגי,לא כולל,0,294 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא זמין,0,295 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,296 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,298 ₪
